Region,Month/Year,Occupancy Rate,Room nights sold (Rounded to nearest thousand)
Cape Breton,May 2012,0,23000
Northumberland Shore,May 2012,0,16000
Bay of Fundy/Annapolis Valley,May 2012,0,27000
Yarmouth/Acadian Shores,May 2012,0,5000
Province,May 2012,0,211000
South Shore,June 2012,0,15000
Halifax Metro,June 2012,0,135000
Eastern Shore,June 2012,0,2000
Cape Breton,June 2012,0,36000
Northumberland Shore,June 2012,0,18000
Bay of Fundy/Annapolis Valley,June 2012,0,29000
Yarmouth/Acadian Shores,June 2012,0,5000
Province,June 2012,0,241000
South Shore,July 2012,0,23000
Halifax Metro,July 2012,0,159000
Eastern Shore,July 2012,0,3000
Cape Breton,July 2012,0,62000
Northumberland Shore,July 2012,0,32000
Bay of Fundy/Annapolis Valley,July 2012,0,48000
Yarmouth/Acadian Shores,July 2012,0,6000
Province,July 2012,0,334000
South Shore,August 2012,0,27000
Halifax Metro,August 2012,0,151000
Eastern Shore,August 2012,0,4000
Cape Breton,August 2012,0,77000
Northumberland Shore,August 2012,0,32000
Bay of Fundy/Annapolis Valley,August 2012,0,51000
Yarmouth/Acadian Shores,August 2012,0,7000
Province,August 2012,0,349000
South Shore,September 2012,0,21000
Halifax Metro,September 2012,0,132000
Eastern Shore,September 2012,0,3000
Cape Breton,September 2012,0,51000
Northumberland Shore,September 2012,0,21000
Bay of Fundy/Annapolis Valley,September 2012,0,35000
Yarmouth/Acadian Shores,September 2012,0,5000
Province,September 2012,0,268000
South Shore,October 2012,0,15000
Halifax Metro,October 2012,0,119000
Eastern Shore,October 2012,0,2000
Cape Breton,October 2012,0,42000
Northumberland Shore,October 2012,0,17000
Bay of Fundy/Annapolis Valley,October 2012,0,26000
Yarmouth/Acadian Shores,October 2012,0,6000
Province,October 2012,0,225000
South Shore,November 2012,0,11000
Halifax Metro,November 2012,0,98000
Eastern Shore,November 2012,0,1000
Cape Breton,November 2012,0,15000
Northumberland Shore,November 2012,0,12000
Bay of Fundy/Annapolis Valley,November 2012,0,17000
Yarmouth/Acadian Shores,November 2012,0,6000
Province,November 2012,0,160000
South Shore,December 2012,0,8000
Halifax Metro,December 2012,0,70000
Eastern Shore,December 2012,0,0
Cape Breton,December 2012,0,11000
Northumberland Shore,December 2012,0,8000
Bay of Fundy/Annapolis Valley,December 2012,0,10000
Yarmouth/Acadian Shores,December 2012,0,2000
Province,December 2012,0,110000
South Shore,January 2013,0,6000
Halifax Metro,January 2013,0,75000
Eastern Shore,January 2013,0,0
Cape Breton,January 2013,0,11000
Northumberland Shore,January 2013,0,8000
Bay of Fundy/Annapolis Valley,January 2013,0,11000
Yarmouth/Acadian Shores,January 2013,0,2000
Province,January 2013,0,114000
South Shore,February 2013,0,7000
Halifax Metro,February 2013,0,81000
Eastern Shore,February 2013,0,0
Cape Breton,February 2013,0,11000
Northumberland Shore,February 2013,0,10000
Bay of Fundy/Annapolis Valley,February 2013,0,13000
Yarmouth/Acadian Shores,February 2013,0,3000
Province,February 2013,0,126000
South Shore,March 2013,0,9000
Halifax Metro,March 2013,0,101000
Eastern Shore,March 2013,0,0
Cape Breton,March 2013,0,15000
Northumberland Shore,March 2013,0,11000
Bay of Fundy/Annapolis Valley,March 2013,0,17000
Yarmouth/Acadian Shores,March 2013,0,3000
Province,March 2013,0,156000
South Shore,April 2013,0,9000
Halifax Metro,April 2013,0,100000
Eastern Shore,April 2013,0,0
Cape Breton,April 2013,0,14000
Northumberland Shore,April 2013,0,10000
Bay of Fundy/Annapolis Valley,April 2013,0,16000
Yarmouth/Acadian Shores,April 2013,0,3000
Province,April 2013,0,152000
South Shore,May 2013,0,11000
Halifax Metro,May 2013,0,118000
Eastern Shore,May 2013,0,1000
Cape Breton,May 2013,0,22000
Northumberland Shore,May 2013,0,17000
Bay of Fundy/Annapolis Valley,May 2013,0,25000
Yarmouth/Acadian Shores,May 2013,0,4000
Province,May 2013,0,197000
South Shore,June 2013,0,16000
Halifax Metro,June 2013,0,130000
Eastern Shore,June 2013,0,2000
Cape Breton,June 2013,0,39000
Northumberland Shore,June 2013,0,20000
Bay of Fundy/Annapolis Valley,June 2013,0,29000
Yarmouth/Acadian Shores,June 2013,0,4000
Province,June 2013,0,241000
South Shore,July 2013,0,25000
Halifax Metro,July 2013,0,147000
Eastern Shore,July 2013,0,3000
Cape Breton,July 2013,0,68000
Northumberland Shore,July 2013,0,29000
Bay of Fundy/Annapolis Valley,July 2013,0,46000
Yarmouth/Acadian Shores,July 2013,0,6000
Province,July 2013,0,324000
South Shore,August 2013,0,30000
Halifax Metro,August 2013,0,147000
Eastern Shore,August 2013,0,4000
Cape Breton,August 2013,0,80000
Northumberland Shore,August 2013,0,33000
Bay of Fundy/Annapolis Valley,August 2013,0,51000
Yarmouth/Acadian Shores,August 2013,0,7000
Province,August 2013,0,352000
South Shore,September 2013,0,23000
Halifax Metro,September 2013,0,128000
Eastern Shore,September 2013,0,3000
Cape Breton,September 2013,0,52000
Northumberland Shore,September 2013,0,21000
Bay of Fundy/Annapolis Valley,September 2013,0,32000
Yarmouth/Acadian Shores,September 2013,0,7000
Province,September 2013,0,266000
South Shore,October 2013,0,17000
Halifax Metro,October 2013,0,121000
Eastern Shore,October 2013,0,2000
Cape Breton,October 2013,0,44000
Northumberland Shore,October 2013,0,18000
Bay of Fundy/Annapolis Valley,October 2013,0,27000
Yarmouth/Acadian Shores,October 2013,0,5000
Province,October 2013,0,234000
South Shore,November 2013,0,9000
Halifax Metro,November 2013,0,101000
Eastern Shore,November 2013,0,0
Cape Breton,November 2013,0,16000
Northumberland Shore,November 2013,0,12000
Bay of Fundy/Annapolis Valley,November 2013,0,17000
Yarmouth/Acadian Shores,November 2013,0,5000
Province,November 2013,0,161000
South Shore,December 2013,0,6000
Halifax Metro,December 2013,0,74000
Eastern Shore,December 2013,0,0
Cape Breton,December 2013,0,14000
Northumberland Shore,December 2013,0,8000
Bay of Fundy/Annapolis Valley,December 2013,0,11000
Yarmouth/Acadian Shores,December 2013,0,3000
Province,December 2013,0,116000
South Shore,January 2014,0,9000
Halifax Metro,January 2014,0,77000
Eastern Shore,January 2014,0,0
Cape Breton,January 2014,0,13000
Northumberland Shore,January 2014,0,9000
Bay of Fundy/Annapolis Valley,January 2014,0,12000
Yarmouth/Acadian Shores,January 2014,0,3000
Province,January 2014,0,122000
South Shore,February 2014,0,7000
Halifax Metro,February 2014,0,86000
Eastern Shore,February 2014,0,0
Cape Breton,February 2014,0,13000
Northumberland Shore,February 2014,0,9000
Bay of Fundy/Annapolis Valley,February 2014,0,13000
Yarmouth/Acadian Shores,February 2014,0,3000
Province,February 2014,0,131000
South Shore,March 2014,0,8000
Halifax Metro,March 2014,0,103000
Eastern Shore,March 2014,0,0
Cape Breton,March 2014,0,17000
Northumberland Shore,March 2014,0,10000
Bay of Fundy/Annapolis Valley,March 2014,0,17000
Yarmouth/Acadian Shores,March 2014,0,4000
Province,March 2014,0,159000
South Shore,April 2014,0,8000
Halifax Metro,April 2014,0,104000
Eastern Shore,April 2014,0,0
Cape Breton,April 2014,0,16000
Northumberland Shore,April 2014,0,10000
Bay of Fundy/Annapolis Valley,April 2014,0,16000
Yarmouth/Acadian Shores,April 2014,0,4000
Province,April 2014,0,159000
South Shore,May 2014,0,13000
Halifax Metro,May 2014,0,127000
Eastern Shore,May 2014,0,1000
Cape Breton,May 2014,0,23000
Northumberland Shore,May 2014,0,15000
