Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Road,May 2007,South Atlantic,United States,"1,100"
Road,May 2007,East South Central,United States,0
Road,May 2007,West South Central,United States,100
Road,May 2007,Mountain,United States,100
Road,May 2007,Pacific,United States,200
Road,May 2007,Overseas,Overseas,0
Air,June 2007,Atlantic Canada,Canada,"6,900"
Air,June 2007,Quebec,Canada,"3,800"
Air,June 2007,Ontario,Canada,"18,100"
Air,June 2007,Western Canada,Canada,"11,100"
Air,June 2007,New England (inc Maine),United States,"1,200"
Air,June 2007,Middle Atlantic,United States,"1,800"
Air,June 2007,East North Central,United States,800
Air,June 2007,West North Central,United States,300
Air,June 2007,South Atlantic,United States,"2,100"
Air,June 2007,East South Central,United States,100
Air,June 2007,West South Central,United States,600
Air,June 2007,Mountain,United States,400
Air,June 2007,Pacific,United States,800
Air,June 2007,United Kingdom,Overseas,"2,800"
Air,June 2007,Germany,Overseas,"1,000"
Air,June 2007,Other Europe,Overseas,"1,500"
Air,June 2007,Other Overseas,Overseas,"1,500"
Road,June 2007,Atlantic Canada,Canada,"100,200"
Road,June 2007,Quebec,Canada,"5,400"
Road,June 2007,Ontario,Canada,"20,100"
Road,June 2007,Western Canada,Canada,"2,000"
Road,June 2007,Maine (by road only),United States,"2,300"
Road,June 2007,Other New England,United States,"5,300"
Road,June 2007,Middle Atlantic,United States,"3,300"
Road,June 2007,East North Central,United States,"1,200"
Road,June 2007,West North Central,United States,500
Road,June 2007,South Atlantic,United States,"3,200"
Road,June 2007,East South Central,United States,200
Road,June 2007,West South Central,United States,600
Road,June 2007,Mountain,United States,600
Road,June 2007,Pacific,United States,600
Road,June 2007,Overseas,Overseas,0
Air,July 2007,Atlantic Canada,Canada,"5,400"
Air,July 2007,Quebec,Canada,"3,900"
Air,July 2007,Ontario,Canada,"30,200"
Air,July 2007,Western Canada,Canada,"17,000"
Air,July 2007,New England (inc Maine),United States,"2,700"
Air,July 2007,Middle Atlantic,United States,"3,100"
Air,July 2007,East North Central,United States,"1,600"
Air,July 2007,West North Central,United States,700
Air,July 2007,South Atlantic,United States,"4,500"
Air,July 2007,East South Central,United States,800
Air,July 2007,West South Central,United States,"1,000"
Air,July 2007,Mountain,United States,900
Air,July 2007,Pacific,United States,"1,800"
Air,July 2007,United Kingdom,Overseas,"3,800"
Air,July 2007,Germany,Overseas,"1,300"
Air,July 2007,Other Europe,Overseas,"2,000"
Air,July 2007,Other Overseas,Overseas,"2,800"
Road,July 2007,Atlantic Canada,Canada,"119,800"
Road,July 2007,Quebec,Canada,"17,200"
Road,July 2007,Ontario,Canada,"57,400"
Road,July 2007,Western Canada,Canada,"3,400"
Road,July 2007,Maine (by road only),United States,"3,500"
Road,July 2007,Other New England,United States,"10,400"
Road,October 2007,Ontario,Canada,"12,100"
Road,July 2007,Middle Atlantic,United States,"6,900"
Road,July 2007,East North Central,United States,"2,200"
Road,July 2007,West North Central,United States,700
Road,July 2007,South Atlantic,United States,"5,300"
Road,July 2007,East South Central,United States,500
Road,July 2007,West South Central,United States,"1,000"
Road,July 2007,Mountain,United States,700
Road,July 2007,Pacific,United States,"1,200"
Road,July 2007,Overseas,Overseas,0
Air,August 2007,Atlantic Canada,Canada,"5,700"
Air,August 2007,Quebec,Canada,"5,700"
Air,August 2007,Ontario,Canada,"34,400"
Air,August 2007,Western Canada,Canada,"22,600"
Air,August 2007,New England (inc Maine),United States,"2,600"
Air,August 2007,Middle Atlantic,United States,"3,800"
Air,August 2007,East North Central,United States,"2,000"
Air,August 2007,West North Central,United States,500
Air,August 2007,South Atlantic,United States,"4,700"
Air,August 2007,East South Central,United States,600
Air,August 2007,West South Central,United States,"1,200"
Air,August 2007,Mountain,United States,"1,100"
Air,August 2007,Pacific,United States,"2,600"
Air,August 2007,United Kingdom,Overseas,"3,100"
Air,August 2007,Germany,Overseas,"2,500"
Air,August 2007,Other Europe,Overseas,"2,800"
Air,August 2007,Other Overseas,Overseas,"3,900"
Road,August 2007,Atlantic Canada,Canada,"126,200"
Road,August 2007,Quebec,Canada,"15,800"
Road,August 2007,Ontario,Canada,"56,900"
Road,August 2007,Western Canada,Canada,"3,000"
Road,August 2007,Maine (by road only),United States,"3,500"
Road,August 2007,Other New England,United States,"11,500"
Road,August 2007,Middle Atlantic,United States,"6,900"
Road,August 2007,East North Central,United States,"2,200"
Road,August 2007,West North Central,United States,700
Road,August 2007,South Atlantic,United States,"4,700"
Road,August 2007,East South Central,United States,300
